bin,beta
-12,-0.17327914366654013
-11,-0.1407045072509394
-10,-0.15840493421244414
-9,-0.11062760758625875
-8,-0.11910500405172353
-7,-0.08467494815296016
-6,-0.08162520810193523
-5,-0.04015559018524891
-4,-0.05715376248471018
-3,-0.043950105409676185
-2,-0.05492312755555614
0,-0.053177151974556275
1,-0.12350737100633905
2,-0.19932072774509518
3,-0.2283223956757415
4,-0.26245694472602304
5,-0.28970013533655037
6,-0.3226134265572386
7,-0.383949547443984
8,-0.42793885665833853
9,-0.48689537487159534
10,-0.5850003287414882
11,-0.6554845282310477
12,-0.6797473141638711
