variable,ai_group,period,mean,n_cells
Body length (chars),LowAI,Pre,2059.691535593744,48726
Body length (chars),LowAI,Post,2398.3729944581255,32177
Body length (chars),HighAI,Pre,1915.8187100193043,50459
Body length (chars),HighAI,Post,2299.57911518499,32989
Accepted share,LowAI,Pre,0.39436641171656944,48726
Accepted share,LowAI,Post,0.32232617327881796,32177
Accepted share,HighAI,Pre,0.47259423267220685,50459
Accepted share,HighAI,Post,0.3960436598470029,32989
Answered share,LowAI,Pre,0.7798925574950811,48726
Answered share,LowAI,Post,0.7247110252271147,32177
Answered share,HighAI,Pre,0.8320038151030997,50459
Answered share,HighAI,Post,0.7814468886377856,32989
Mean answer count,LowAI,Pre,1.0822994040659655,48726
Mean answer count,LowAI,Post,0.9388999516902521,32177
Mean answer count,HighAI,Pre,1.2407426972512707,50459
Mean answer count,HighAI,Post,1.081278297531031,32989
Mean score,LowAI,Pre,0.9801701978358129,48726
Mean score,LowAI,Post,0.5884284406948749,32177
Mean score,HighAI,Pre,0.6914980435742009,50459
Mean score,HighAI,Post,0.47802248397782066,32989
Closed share,LowAI,Pre,0.03583850429276294,48726
Closed share,LowAI,Post,0.034667153691768086,32177
Closed share,HighAI,Pre,0.06196402106542531,50459
Closed share,HighAI,Post,0.06012308269570207,32989
Code share,LowAI,Pre,0.8220754009397543,48726
Code share,LowAI,Post,0.8245668815075784,32177
Code share,HighAI,Pre,0.8990476384586684,50459
Code share,HighAI,Post,0.8957437415177331,32989
