tag,disp_activity,disp_hv,ai,VtD,flag,rank_activity,rank_vtd
dataframe,2017.1376482024027,773.2677393931647,1.057337009501836,0.3833490193801458,1,10.0,1.0
pandas,3055.7140985918645,1055.1749252391935,1.0581114053521876,0.3453120583910123,1,3.0,2.0
regex,1051.9532454544676,344.60759689564964,1.2589156674288715,0.3275883204740448,1,14.0,3.0
r,2818.514244592391,905.5379764858387,0.6356040855209548,0.3212820294320691,1,5.0,4.0
ggplot2,352.67846132964195,110.26211759290733,0.4721828519725988,0.3126420512815139,1,27.0,5.0
numpy,413.4314628797347,123.93758126490495,0.4668958556243446,0.29977781662194836,1,25.0,6.0
go,264.9045456067571,75.10256143781815,0.2991703797968237,0.28350801329511977,1,31.0,7.0
powershell,142.8791079225966,38.60657393747198,0.1298125122741082,0.2702044721498872,1,38.0,8.0
c++,564.1689726083979,149.9092869630524,0.1601000154338717,0.26571700012135857,1,21.0,9.0
algorithm,148.1356839507917,38.84334077187385,0.27270523859636,0.26221461119912864,1,36.0,10.0
typescript,1266.8397104319904,315.00333577238035,0.333308444161414,0.24865287469159353,1,13.0,11.0
c,322.27720056769215,77.85841573516905,0.1631548796859842,0.24158834567887905,1,28.0,12.0
dictionary,417.4141964634493,98.30878762352908,0.9757397372175918,0.2355185531696152,1,24.0,13.0
string,598.7836415251702,137.9673167282961,0.8882799332930446,0.2304126351496137,1,19.0,14.0
bash,378.86253612837555,85.50072933338807,0.489890177406424,0.2256774454585201,1,26.0,15.0
ruby,27.670305277246005,5.9714123637886,0.073881219376141,0.2158057998983858,1,46.0,16.0
kotlin,129.15359751289986,27.700984126918456,0.0721249148846595,0.2144809332481171,1,39.0,17.0
swift,21.301318042017357,4.5489882423823556,0.0119401068354743,0.21355430839581702,1,48.0,18.0
arrays,1525.4273458432178,320.4954032159585,0.9670593821544142,0.21010204392186027,1,12.0,19.0
list,779.7486069298815,160.00602816227166,1.0288185547909692,0.20520206992387757,1,16.0,20.0
web-scraping,219.99074075985624,44.87636699877596,0.3905031675577682,0.20399207186525808,1,34.0,21.0
python,36027.86767984087,7325.780186709692,1.8006811826288418,0.2033364908467447,1,1.0,22.0
json,738.9007845775474,149.0417799521937,0.4418683511302451,0.20170743226021276,1,17.0,23.0
angular,243.91575620781015,49.18979583846317,0.1011422275494583,0.2016671518200517,1,33.0,24.0
csv,47.42502380146691,9.442762489100227,0.1062045798390164,0.1991092830786972,1,44.0,25.0
postgresql,11.414795889137437,2.232789658948148,0.0062089158920894,0.19560486938473584,0,49.0,26.0
vue.js,31.07399877186957,6.048223233580653,0.0280662725174897,0.19463935999945853,0,45.0,27.0
scala,64.77465329193078,12.60002746026285,0.2067253193170815,0.19452095565029423,0,42.0,28.0
for-loop,308.9079112971493,58.16193299347253,0.7306973863623802,0.18828243261638106,0,29.0,29.0
python-3.x,945.8900156300496,173.16729230027778,0.4183463266403921,0.18307339060443772,0,15.0,30.0
c#,1970.702423455401,357.25516627704593,0.2996704570086846,0.18128316179296106,0,11.0,31.0
shell,61.95134889525091,11.174265013579465,0.1629202963125455,0.18037161761357653,0,43.0,32.0
function,260.04448592190005,46.286398408256446,0.4132846848170675,0.17799415451615375,0,32.0,33.0
loops,291.27240668453635,51.79590983670344,0.6003849609185594,0.17782635309084113,0,30.0,34.0
javascript,17112.314708965823,2933.282632471929,1.3572065320346274,0.1714135511389973,0,2.0,35.0
xml,7.608387093089206,1.3024710118572354,0.0122800145497355,0.17118884671894338,0,50.0,36.0
sql,2682.638728335894,451.5176007717753,0.8268074699346611,0.168310997676479,0,6.0,37.0
google-apps-script,21.385589608025114,3.563589248155697,0.0320117604278065,0.16663507125463736,0,47.0,38.0
css,2057.261781094509,338.4123125914975,0.5279307106921876,0.16449647570444564,0,9.0,39.0
reactjs,2455.348783035133,402.66292528996513,0.3668097632450626,0.16399418610997538,0,7.0,40.0
dart,592.9913432717096,92.21390666486624,0.3614044032121111,0.15550632856812832,0,20.0,41.0
jquery,114.96449803626449,17.66525140669933,0.115274447795433,0.15365831807595934,0,40.0,42.0
google-sheets,521.9828050154587,80.04366989231258,0.5675853875675545,0.15334541506581248,0,22.0,43.0
html,2917.1659092541086,440.2428794413584,0.5935133924336313,0.15091458392708432,0,4.0,44.0
java,2114.462426297536,307.1914722328321,0.3338288833073821,0.14528112129697676,0,8.0,45.0
azure,451.67545140448436,65.61059797555163,0.2218435349408533,0.1452604912920008,0,23.0,46.0
flutter,652.4803750435277,91.90471698866847,0.1766815566288269,0.14085437739416667,0,18.0,47.0
google-cloud-firestore,93.66469879686417,12.209469064740812,0.1664077074620912,0.13035294216042018,0,41.0,48.0
sql-server,162.50849238202798,21.10060798745003,0.1211512824189726,0.12984310960098214,0,35.0,49.0
oracle-database,148.05084254580365,17.2732384007942,0.1895581020148925,0.11667099020696381,0,37.0,50.0
