tag,activity_at_risk,hv_at_risk,VtD,ci_lo,ci_hi,alert
python,36027.86767984087,7325.780186709692,0.2033364908467447,0.19952381685096524,0.20691399961955664,1
javascript,17112.314708965823,2933.282632471929,0.1714135511389973,0.16752156777726815,0.17506435316298985,0
pandas,3055.7140985918645,1055.1749252391935,0.3453120583910123,0.3358300293104902,0.35420100680500194,1
r,2818.514244592391,905.5379764858387,0.3212820294320691,0.31321041400805805,0.3292212258892343,1
dataframe,2017.1376482024027,773.2677393931647,0.3833490193801458,0.37299791955170736,0.39368527049972674,1
sql,2682.638728335894,451.5176007717753,0.168310997676479,0.1616260830611265,0.1749507706141354,0
html,2917.1659092541086,440.2428794413584,0.15091458392708432,0.14650439162498666,0.15531214531534518,0
reactjs,2455.348783035133,402.66292528996513,0.16399418610997538,0.15955498525005052,0.16832613160215304,0
c#,1970.702423455401,357.25516627704593,0.18128316179296106,0.17728196353452552,0.18537586037061535,0
regex,1051.9532454544676,344.60759689564964,0.3275883204740448,0.3147084730767202,0.3409295305214902,1
css,2057.261781094509,338.4123125914975,0.16449647570444564,0.15868489158506607,0.17031691160468895,0
arrays,1525.4273458432178,320.4954032159585,0.21010204392186027,0.20253353539765043,0.21769326579609602,1
typescript,1266.8397104319904,315.00333577238035,0.24865287469159353,0.24292333443178774,0.2547631262223438,1
java,2114.462426297536,307.1914722328321,0.14528112129697676,0.1414260210617755,0.14906464057228852,0
python-3.x,945.8900156300496,173.16729230027778,0.18307339060443772,0.17622310736573435,0.18982490669692828,0
list,779.7486069298815,160.00602816227166,0.20520206992387757,0.19492253637730528,0.21659308468148303,0
c++,564.1689726083979,149.9092869630524,0.26571700012135857,0.2586280327297877,0.2726642429218601,1
json,738.9007845775474,149.0417799521937,0.20170743226021276,0.19397621737214713,0.20920930037948346,0
string,598.7836415251702,137.9673167282961,0.2304126351496137,0.2192284414972628,0.24314282564956718,1
numpy,413.4314628797347,123.93758126490495,0.29977781662194836,0.2891725075893109,0.31067100789329427,1
ggplot2,352.67846132964195,110.26211759290733,0.3126420512815139,0.29943995553343083,0.3258543566551616,1
dictionary,417.4141964634493,98.30878762352908,0.2355185531696152,0.21993890632023663,0.2504428226129114,1
dart,592.9913432717096,92.21390666486624,0.15550632856812832,0.14631727618571952,0.16370695367649524,0
flutter,652.4803750435277,91.90471698866847,0.14085437739416667,0.13506845065517292,0.14646490817635752,0
bash,378.86253612837555,85.50072933338807,0.2256774454585201,0.2135092309515589,0.23743066990026937,1
google-sheets,521.9828050154587,80.04366989231258,0.15334541506581248,0.14436563459829288,0.16315214737100225,0
c,322.27720056769215,77.85841573516905,0.24158834567887905,0.2330083532275118,0.2498458294387249,1
go,264.9045456067571,75.10256143781815,0.28350801329511977,0.2717516682225119,0.29617886416576444,1
azure,451.67545140448436,65.61059797555163,0.1452604912920008,0.13897296119739957,0.15173665658104005,0
for-loop,308.9079112971493,58.16193299347253,0.18828243261638106,0.17327680154454253,0.20414902714291466,0
loops,291.27240668453635,51.79590983670344,0.17782635309084113,0.16647658549575467,0.18929072142385925,0
angular,243.91575620781015,49.18979583846317,0.2016671518200517,0.19304102922471042,0.21101588074430028,0
function,260.04448592190005,46.286398408256446,0.17799415451615375,0.16767794391352084,0.18875021449278132,0
web-scraping,219.99074075985624,44.87636699877596,0.20399207186525808,0.1909130045358676,0.2181593023847669,0
algorithm,148.1356839507917,38.84334077187385,0.26221461119912864,0.24775714637238702,0.2761091769919012,1
powershell,142.8791079225966,38.60657393747198,0.2702044721498872,0.25950443403192625,0.2813632166821266,1
kotlin,129.15359751289986,27.700984126918456,0.2144809332481171,0.2072514429378839,0.22196974360928332,1
sql-server,162.50849238202798,21.10060798745003,0.12984310960098214,0.12153455065626094,0.13762252262610483,0
jquery,114.96449803626449,17.66525140669933,0.15365831807595934,0.144747793529111,0.16301115840178027,0
oracle-database,148.05084254580365,17.2732384007942,0.11667099020696381,0.10686483092537284,0.12629835223500613,0
scala,64.77465329193078,12.60002746026285,0.19452095565029423,0.17848781935737623,0.21074424758757063,0
google-cloud-firestore,93.66469879686417,12.209469064740812,0.13035294216042018,0.12029820179583996,0.1408536987368784,0
shell,61.95134889525091,11.174265013579465,0.18037161761357653,0.16604076311772675,0.1952353471873195,0
csv,47.42502380146691,9.442762489100227,0.1991092830786972,0.1833731439631994,0.2126787284412718,0
vue.js,31.07399877186957,6.048223233580653,0.19463935999945853,0.18495610455966885,0.20369379072175528,0
ruby,27.670305277246005,5.9714123637886,0.2158057998983858,0.19944390468704484,0.23258679075654048,1
swift,21.301318042017357,4.5489882423823556,0.21355430839581702,0.20535844756006255,0.22092098569495047,1
google-apps-script,21.385589608025114,3.563589248155697,0.16663507125463736,0.15641869342681475,0.17682199375924632,0
postgresql,11.414795889137437,2.232789658948148,0.19560486938473584,0.18850709381151548,0.2027052099810597,0
xml,7.608387093089206,1.3024710118572354,0.17118884671894338,0.15942998452876872,0.18208541321946692,0
