year,question_type,n_questions,share,n_tags_present,status
2024,advanced_architecture,2506,0.005005562846179813,99,ok
2024,debugging_simple,49325,0.09852329903743785,100,ok
2024,how_to,96336,0.1924245420389379,100,ok
2024,long_code,208864,0.4171914917416203,100,ok
2024,other_conceptual,36757,0.07341958241701173,100,ok
2024,short_code,79637,0.15906943670439813,100,ok
2024,version_environment_specific,27218,0.054366085214414266,100,ok
2025,advanced_architecture,721,0.005561297687549173,81,ok
2025,debugging_simple,12135,0.09360103666908351,100,ok
2025,how_to,24971,0.19260910479305185,100,ok
2025,long_code,57498,0.44349999228668835,100,ok
2025,other_conceptual,7926,0.06113570800487481,99,ok
2025,short_code,18182,0.1402434321151443,100,ok
2025,version_environment_specific,8213,0.06334942844360798,99,ok
