bin,bin_label,weeks_from_chatgpt_mid,estimate,std_err,p,ci_lo,ci_hi,is_pre
-12,-12,-150,-0.20536070831833786,0.06602454676141126,0.00244104860006944,-0.3363677332231402,-0.07435368341353552,True
-11,-11,-137,-0.15473154019644175,0.057821700397204655,0.008720128934580185,-0.26946233829412636,-0.04000074209875716,True
-10,-10,-124,-0.16797267934192286,0.05250498856233371,0.0018518536535025998,-0.27215396769015643,-0.06379139099368933,True
-9,-9,-111,-0.11745889910073717,0.03930820679965871,0.0035391642683604285,-0.1954549093690845,-0.03946288883238987,True
-8,-8,-98,-0.11971335797781113,0.037138229717946974,0.001715584009226001,-0.19340366293607197,-0.04602305301955027,True
-7,-7,-85,-0.08211533128997621,0.03668077251866135,0.02741799054606786,-0.15489794191878928,-0.00933272066116314,True
-6,-6,-72,-0.088907955677861,0.03331682750896624,0.008902380601555793,-0.1550157695942325,-0.022800141761489506,True
-5,-5,-59,-0.04661090486860895,0.033101547508738005,0.1622285076218941,-0.11229155655919007,0.019069746821972162,True
-4,-4,-46,-0.05145819192734938,0.027904428159377263,0.06816110666008734,-0.10682663130551112,0.003910247450812372,True
-3,-3,-33,-0.03522521529070897,0.029868498194208882,0.24108789282122967,-0.09449079572608654,0.024040365144668605,True
-2,-2,-20,-0.05466913198023915,0.028134446480111024,0.05483961471097332,-0.11049397760957627,0.0011557136490979725,True
-1,omit (-1),-7,0.0,0.0,,0.0,0.0,True
0,+0,6,-0.06294392114076963,0.01905328824834773,0.0013294414753699524,-0.10074977866660348,-0.025138063614935778,False
1,+1,19,-0.15799402759396436,0.033558021180546495,8.146749943760412e-06,-0.22458042208210077,-0.09140763310582795,False
2,+2,32,-0.2518074958428355,0.03723167527900463,9.52492529293636e-10,-0.32568321706739745,-0.17793177461827356,False
3,+3,45,-0.29377084172145784,0.041333830851268,1.8530510459413563e-10,-0.37578612957054947,-0.21175555387236622,False
4,+4,58,-0.3309032828440488,0.04644667708607136,1.7071810631819062e-10,-0.42306356686309204,-0.23874299882500555,False
5,+5,71,-0.3579617844873857,0.0520946902390921,5.709792638697309e-10,-0.46132895194743573,-0.25459461702733566,False
6,+6,84,-0.40664209156038217,0.05870761775205124,4.3925840742531364e-10,-0.523130741891258,-0.29015344122950637,False
7,+7,97,-0.4846348335060014,0.06283691616267814,9.85389547736304e-12,-0.6093169077414019,-0.3599527592706009,False
8,+8,110,-0.5440529197744375,0.0675581459372396,1.8469670237664104e-12,-0.6781029381608574,-0.41000290138801754,False
