period,event_type,weeks,events,first_seen_actors,first_seen_repos,events_per_week,first_seen_actors_per_week,first_seen_repos_per_week
post,CreateEvent,109,6137130,1451687,2737473,56303.94495412844,13318.229357798165,25114.43119266055
pre,CreateEvent,99,4850715,1095800,2291681,48997.121212121216,11068.68686868687,23148.29292929293
post,ForkEvent,109,520795,258694,178595,4777.935779816514,2373.3394495412845,1638.48623853211
pre,ForkEvent,99,533869,278555,210679,5392.616161616162,2813.686868686869,2128.070707070707
post,IssueCommentEvent,109,2204814,240289,128843,20227.65137614679,2204.4862385321103,1182.045871559633
pre,IssueCommentEvent,99,1914082,226208,131056,19334.161616161615,2284.929292929293,1323.79797979798
post,IssuesEvent,109,855488,154785,108073,7848.51376146789,1420.045871559633,991.4954128440367
pre,IssuesEvent,99,727668,133608,94786,7350.181818181818,1349.5757575757575,957.4343434343434
post,PullRequestEvent,109,3479195,146419,289607,31919.22018348624,1343.2935779816514,2656.9449541284403
pre,PullRequestEvent,99,2960872,100811,262468,29907.79797979798,1018.2929292929293,2651.191919191919
post,PushEvent,109,34838852,2783395,4659401,319622.49541284406,25535.73394495413,42746.79816513762
pre,PushEvent,99,16888814,2012721,3339702,170594.08080808082,20330.515151515152,33734.36363636364
post,WatchEvent,109,2033379,796546,641546,18654.853211009173,7307.761467889908,5885.743119266055
pre,WatchEvent,99,1467048,587908,526045,14818.666666666666,5938.464646464647,5313.585858585859
