outcome,treatment,coefficient,std_error_cluster_language,p_value,n_obs,n_languages,adj_r2
log1p_events,so_dependence_log,0.09155410050331943,0.10931974630003224,0.4023176778513087,2717,13,0.8568864765672068
log1p_active_actors,so_dependence_log,0.01166276463132996,0.08029792433471437,0.8845184936251385,2717,13,0.925049625155379
log1p_first_seen_actors_language,so_dependence_log,0.027654576241450488,0.03817779283811708,0.46884297820535037,2717,13,0.8903444702202999
log1p_pr_events,so_dependence_log,0.04382135663508631,0.06403105965094795,0.4937374105895408,2717,13,0.8474166731337606
log1p_pr_first_seen_actors,so_dependence_log,0.013365753029656917,0.04456175215300814,0.7642246156913393,2717,13,0.6454363002222427
log1p_issue_events,so_dependence_log,0.12946948093254845,0.1231963684705917,0.2932955077258408,2717,13,0.8416003963148329
log1p_issue_first_seen_actors,so_dependence_log,0.021207475266349286,0.04384615872025018,0.6286135523409306,2717,13,0.857965907011359
log1p_events,so_dependence_rank,0.37152212545688756,0.435318352739382,0.39341021490321026,2717,13,0.8573522686167874
log1p_active_actors,so_dependence_rank,0.04178873895980761,0.32509934379873584,0.8977205029997871,2717,13,0.925046346584157
log1p_first_seen_actors_language,so_dependence_rank,0.06839749223376321,0.1442933044936827,0.6354877206836516,2717,13,0.8902040231734148
log1p_pr_events,so_dependence_rank,0.16718861061694396,0.23399380038789738,0.47491794985931657,2717,13,0.8474448556597296
log1p_pr_first_seen_actors,so_dependence_rank,0.008895857986481924,0.169119795278425,0.9580498784463354,2717,13,0.6453052392475283
log1p_issue_events,so_dependence_rank,0.5225506508526134,0.49351855332759337,0.28967868415247344,2717,13,0.8424142553792976
log1p_issue_first_seen_actors,so_dependence_rank,0.03019190027631426,0.1673877534335691,0.8568613017399714,2717,13,0.8578177748635931
