cutoff,estimate,se,p,n
2020-07-01,0.052578960899698185,0.01972379574986042,0.008971684296622096,99185
2020-07-29,0.05574008846481483,0.01926247543294077,0.004682864131046571,99185
2020-08-26,0.05928006343847089,0.019142727988918168,0.0025455627513204515,99185
2020-09-23,0.061559581692174715,0.018982834174162366,0.0016132077757260443,99185
2020-10-21,0.06129166099119682,0.018510428574740518,0.0012972882688244702,99185
2020-11-18,0.058321337382451766,0.01769120416275218,0.0013593746572875265,99185
2020-12-16,0.05472063510513766,0.017268318445232116,0.002036278980745987,99185
2021-01-13,0.06131111288741953,0.016922783263313822,0.0004616688678602543,99185
2021-02-10,0.06630601252804637,0.01692923006981941,0.00016517543958016745,99185
2021-03-10,0.06297058663880045,0.017351778980021222,0.00045221085129587557,99185
2021-04-07,0.06556952527527991,0.01780899661760767,0.0003773214467559516,99185
2021-05-05,0.061009430434179085,0.01813596942422864,0.00109379970985235,99185
2021-06-02,0.06257701543096296,0.01873252470199738,0.0011801494599803508,99185
2021-06-30,0.060768555552123016,0.018078459535955497,0.0011031545829127687,99185
2021-07-28,0.061041170753146225,0.0190811584984803,0.0018527091001390161,99185
2021-08-25,0.06184506776597484,0.020515639630021617,0.003269285053650428,99185
2021-09-22,0.06058428284020794,0.02013831978734148,0.003330189341613332,99185
2021-10-20,0.05559191343970586,0.01943652158459973,0.005164750865031209,99185
2021-11-17,0.05431007001565359,0.020206141008707133,0.00843870339266517,99185
2021-12-15,0.04908040422192556,0.021689493767566192,0.02582816157756418,99185
2022-01-12,0.05121624978545523,0.020690316353396666,0.015008043330639875,99185
2022-02-09,0.04763799826966654,0.020823164601379278,0.024279985789364744,99185
2022-03-09,0.043298914812985735,0.02085759382966516,0.04049192638012267,99185
2022-04-06,0.040037405037760807,0.020217470530776688,0.050441014557798924,99185
2022-05-04,0.04984279141286625,0.02035088270768644,0.016075990987165945,99185
2022-06-01,0.05595542736041149,0.02222627847904411,0.013422324173716804,99185
2022-06-29,0.05672062458648784,0.022945724325920118,0.015143959499258175,99185
2022-07-27,0.06673274193611813,0.024523090981155092,0.007685122290328916,99185
2022-08-24,0.06573083820623249,0.028511580520104805,0.023230551507994912,99185
