tag,ai_answerability_zscore,ai_answerability_structural,ai_answerability_pca
python,1.5155053868933794,1.8006811826288418,0.7766375228520569
list,1.1652431331488442,1.0288185547909692,3.810244952833863
string,1.0622467500568022,0.8882799332930446,3.722395637410608
regex,0.9802304212256678,1.2589156674288715,5.153751964981411
javascript,0.9711433604039796,1.3572065320346274,0.2745665874810477
dictionary,0.9067890714994792,0.9757397372175918,3.182348568289293
pandas,0.8646355847327883,1.0581114053521876,2.602540085063077
dataframe,0.8204713566166805,1.057337009501836,2.8847842631049105
arrays,0.7639486316081535,0.9670593821544142,2.594632666806325
bash,0.7559093071027364,0.489890177406424,2.899141432853864
python-3.x,0.7162969406516968,0.4183463266403921,0.7770026467905655
shell,0.6831617194501317,0.1629202963125455,2.1691730165332905
dart,0.6326311000504187,0.3614044032121111,0.6250618564232209
sql,0.5878728743219979,0.8268074699346611,2.321797387507696
numpy,0.5798751409036456,0.4668958556243446,2.006884130536259
xcode,-0.5294282601927262,-0.6691257803487112,-1.700652825311586
windows,-0.5546078527243149,-0.8681373322535928,-1.7977931935477935
.net-core,-0.5595052448501922,-0.3081637542123751,-0.7021779149859502
visual-studio,-0.5607426113004864,-0.7088756972356358,-1.8510609143345715
android-studio,-0.5617977138052218,-0.7704961765772382,-2.239972674338852
docker,-0.5660096240941873,-0.518368900672254,-1.352689261067607
.net,-0.5701966552086524,-0.4847841112922278,-1.0593601583771983
spring-boot,-0.6374092543835994,-0.5410529928309668,-1.6788668744659063
spring,-0.645884877197608,-0.5440644532390305,-1.5326938198282851
wordpress,-0.6481104603555182,-0.6571284530776605,-1.3972978993464795
opencv,-0.6557043932695598,-1.1370279056712902,-3.0329357241324213
asp.net,-0.7182458623252016,-0.7992541947483788,-2.0730690065112234
ajax,-0.7736792378103795,-0.7082059490755207,-2.292953440935353
multithreading,-0.986497146415997,-0.5686651954961603,-1.2590280953742314
swiftui,-1.7749591079186724,-2.3770257285295706,0.4684062085859733
